country,is--country,name,continent,is--EU,is--briics,is--nato,is--oecd,is--g7,is--sweden
usa_minor_out_isl,TRUE,United States Minor Outlying Islands,North America,FALSE,Not BRIICS,Not NATO,Not OECD,Not G7,FALSE
usa_oc,TRUE,United States Oceania,Oceania,FALSE,Not BRIICS,Not NATO,Not OECD,Not G7,FALSE
vir,TRUE,United States Virgin Islands,North America,FALSE,Not BRIICS,Not NATO,Not OECD,Not G7,FALSE
unspec,TRUE,Unspecified countries and territories,Other,FALSE,Not BRIICS,Not NATO,Not OECD,Not G7,FALSE
unspec_third,TRUE,Unspecified countries and territories in trade with third country,Other,FALSE,Not BRIICS,Not NATO,Not OECD,Not G7,FALSE
unspec_eu,TRUE,Unspecified countries and territories in trade within the EU,Other,FALSE,Not BRIICS,Not NATO,Not OECD,Not G7,FALSE
ury,TRUE,Uruguay,South America,FALSE,Not BRIICS,Not NATO,Not OECD,Not G7,FALSE
uzb,TRUE,Uzbekistan,Asia,FALSE,Not BRIICS,Not NATO,Not OECD,Not G7,FALSE
vut,TRUE,Vanuatu,Oceania,FALSE,Not BRIICS,Not NATO,Not OECD,Not G7,FALSE
vat,TRUE,Vatican City State,Europe,FALSE,Not BRIICS,Not NATO,Not OECD,Not G7,FALSE
ven,TRUE,Venezuela,South America,FALSE,Not BRIICS,Not NATO,Not OECD,Not G7,FALSE
vnm,TRUE,Viet Nam,Asia,FALSE,Not BRIICS,Not NATO,Not OECD,Not G7,FALSE
wlf,TRUE,Wallis and Futuna,Oceania,FALSE,Not BRIICS,Not NATO,Not OECD,Not G7,FALSE
wbg,TRUE,West Bank/Gaza Strip,Asia,FALSE,Not BRIICS,Not NATO,Not OECD,Not G7,FALSE
esh,TRUE,Western Sahara,Africa,FALSE,Not BRIICS,Not NATO,Not OECD,Not G7,FALSE
world,TRUE,World,Other,FALSE,Not BRIICS,Not NATO,Not OECD,Not G7,FALSE
yem,TRUE,Yemen,Asia,FALSE,Not BRIICS,Not NATO,Not OECD,Not G7,FALSE
zmb,TRUE,Zambia,Africa,FALSE,Not BRIICS,Not NATO,Not OECD,Not G7,FALSE
zwe,TRUE,Zimbabwe,Africa,FALSE,Not BRIICS,Not NATO,Not OECD,Not G7,FALSE
row_asia,TRUE,RoW Asia-Pacific Region,Asia,FALSE,Not BRIICS,Not NATO,Not OECD,Not G7,FALSE
row_africa,TRUE,RoW Africa,Africa,FALSE,Not BRIICS,Not NATO,Not OECD,Not G7,FALSE
row_europe,TRUE,RoW Europé,Europe,FALSE,Not BRIICS,Not NATO,Not OECD,Not G7,FALSE
row_america,TRUE,RoW America,North America & South America,FALSE,Not BRIICS,Not NATO,Not OECD,Not G7,FALSE
row_me,TRUE,RoW Middle East,Asia,FALSE,Not BRIICS,Not NATO,Not OECD,Not G7,FALSE
