country,year,ae_ton_arts
lux,2022,12.94078
lux,2023,
mlt,1990,
mlt,1991,
mlt,1992,
mlt,1993,
mlt,1994,
mlt,1995,
mlt,1996,
mlt,1997,
mlt,1998,
mlt,1999,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,2.15601
mlt,2009,1.84738
mlt,2010,2.53225
mlt,2011,1.76676
mlt,2012,2.81453
mlt,2013,2.85747
mlt,2014,2.74364
mlt,2015,2.24653
mlt,2016,0.8025
mlt,2017,0.71915
mlt,2018,0.7083
mlt,2019,0.73472
mlt,2020,0.69971
mlt,2021,0.69645
mlt,2022,0.68164
mlt,2023,
nld,1990,
nld,1991,
nld,1992,
nld,1993,
nld,1994,
nld,1995,
nld,1996,
nld,1997,
nld,1998,
nld,1999,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,507.71194
nld,2009,516.73946
nld,2010,647.09091
nld,2011,547.68415
nld,2012,571.04129
nld,2013,627.60498
nld,2014,515.58289
nld,2015,558.0059
nld,2016,540.21955
nld,2017,508.86358
nld,2018,486.03522
nld,2019,454.14956
nld,2020,415.29243
nld,2021,434.3819
nld,2022,383.7636
nld,2023,
nzl,1990,
nzl,1991,
nzl,1992,
nzl,1993,
nzl,1994,
nzl,1995,
nzl,1996,
nzl,1997,
nzl,1998,
nzl,1999,
nzl,2000,
nzl,2001,
nzl,2002,
nzl,2003,
nzl,2004,
nzl,2005,
nzl,2006,
nzl,2007,
nzl,2008,52.46970421
nzl,2009,45.593366425
nzl,2010,57.092653401
nzl,2011,63.218826961
nzl,2012,50.654672039
nzl,2013,50.095891735
nzl,2014,49.02491811
nzl,2015,49.3076828
nzl,2016,51.633502743
nzl,2017,56.031489899
nzl,2018,49.272577367
nzl,2019,72.008562498
nzl,2020,68.237030804
nzl,2021,76.552925832
nzl,2022,
nzl,2023,
nor,1990,
nor,1991,
nor,1992,
nor,1993,
