country,year,ae_cap_edu
esp,2022,10.94691
esp,2023,
swe,1990,
swe,1991,
swe,1992,
swe,1993,
swe,1994,
swe,1995,
swe,1996,
swe,1997,
swe,1998,
swe,1999,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,15.03669
swe,2009,15.55471
swe,2010,15.91182
swe,2011,14.20534
swe,2012,13.78121
swe,2013,13.05948
swe,2014,11.86249
swe,2015,11.77003
swe,2016,10.99307
swe,2017,10.19246
swe,2018,10.05008
swe,2019,10.47015
swe,2020,8.99115
swe,2021,8.69602
swe,2022,7.56798
swe,2023,
che,1990,
che,1991,
che,1992,
che,1993,
che,1994,
che,1995,
che,1996,
che,1997,
che,1998,
che,1999,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,10.72564
che,2009,10.2104
che,2010,11.0082
che,2011,9.74875
che,2012,10.12396
che,2013,11.12995
che,2014,9.21388
che,2015,8.8594
che,2016,8.75039
che,2017,8.15027
che,2018,7.25484
che,2019,7.60648
che,2020,6.29226
che,2021,7.71226
che,2022,
che,2023,
tur,1990,
tur,1991,
tur,1992,
tur,1993,
tur,1994,
tur,1995,
tur,1996,
tur,1997,
tur,1998,
tur,1999,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
eu_three,1990,
eu_three,1991,
eu_three,1992,
eu_three,1993,
eu_three,1994,
eu_three,1995,
eu_three,1996,
eu_three,1997,
eu_three,1998,
eu_three,1999,
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,34.17844
eu_three,2009,33.51757
eu_three,2010,33.46115
eu_three,2011,28.54301
eu_three,2012,28.33377
eu_three,2013,31.90607
eu_three,2014,28.4879
eu_three,2015,29.53984
eu_three,2016,30.33703
eu_three,2017,29.5668
eu_three,2018,28.29476
eu_three,2019,27.60189
eu_three,2020,26.41673
eu_three,2021,29.21573
eu_three,2022,27.2253
eu_three,2023,
