country,year,ae_cap_def
esp,2007,
esp,2008,106.23901
esp,2009,96.20348
esp,2010,101.62744
esp,2011,98.01517
esp,2012,88.33147
esp,2013,86.83627
esp,2014,83.66216
esp,2015,87.12173
esp,2016,85.85654
esp,2017,96.98146
esp,2018,98.79489
esp,2019,91.40667
esp,2020,81.12347
esp,2021,93.50904
esp,2022,92.94615
esp,2023,
swe,1990,
swe,1991,
swe,1992,
swe,1993,
swe,1994,
swe,1995,
swe,1996,
swe,1997,
swe,1998,
swe,1999,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,23.85546
swe,2009,21.129
swe,2010,22.647
swe,2011,18.529
swe,2012,18.85535
swe,2013,14.76166
swe,2014,13.59039
swe,2015,13.44277
swe,2016,13.09319
swe,2017,12.40851
swe,2018,12.12182
swe,2019,13.7851
swe,2020,13.54354
swe,2021,13.67561
swe,2022,14.1332
swe,2023,
che,1990,
che,1991,
che,1992,
che,1993,
che,1994,
che,1995,
che,1996,
che,1997,
che,1998,
che,1999,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,197.13882
che,2009,194.12092
che,2010,203.99099
che,2011,180.37933
che,2012,188.59935
che,2013,196.88445
che,2014,170.95017
che,2015,172.18783
che,2016,167.34594
che,2017,158.93376
che,2018,141.03257
che,2019,141.73704
che,2020,129.11021
che,2021,148.123
che,2022,
che,2023,
tur,1990,
tur,1991,
tur,1992,
tur,1993,
tur,1994,
tur,1995,
tur,1996,
tur,1997,
tur,1998,
tur,1999,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
eu_three,1990,
eu_three,1991,
eu_three,1992,
eu_three,1993,
eu_three,1994,
eu_three,1995,
eu_three,1996,
eu_three,1997,
eu_three,1998,
eu_three,1999,
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,77.79305
eu_three,2009,75.14806
eu_three,2010,73.14661
eu_three,2011,67.73702
eu_three,2012,65.85373
eu_three,2013,63.61809
eu_three,2014,60.09707
eu_three,2015,60.98361
eu_three,2016,65.40779
eu_three,2017,66.21869
eu_three,2018,63.20116
eu_three,2019,62.77774
eu_three,2020,61.21208
eu_three,2021,65.39611
eu_three,2022,61.24907
eu_three,2023,
