country,year,ae_ton_house
svk,1991,
svk,1992,
svk,1993,
svk,1994,
svk,1995,
svk,1996,
svk,1997,
svk,1998,
svk,1999,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,0.33538
svk,2009,0.32888
svk,2010,0.34329
svk,2011,0.3223
svk,2012,0.38794
svk,2013,0.54029
svk,2014,0.35377
svk,2015,0.30106
svk,2016,0.30693
svk,2017,0.30798
svk,2018,0.81196
svk,2019,9.29558
svk,2020,0.29364
svk,2021,0.29148
svk,2022,0.27454
svk,2023,
svn,1990,
svn,1991,
svn,1992,
svn,1993,
svn,1994,
svn,1995,
svn,1996,
svn,1997,
svn,1998,
svn,1999,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,0
svn,2009,0
svn,2010,0
svn,2011,0
svn,2012,0
svn,2013,0
svn,2014,0
svn,2015,0
svn,2016,0
svn,2017,0
svn,2018,0
svn,2019,0
svn,2020,0
svn,2021,0
svn,2022,0
svn,2023,
esp,1990,
esp,1991,
esp,1992,
esp,1993,
esp,1994,
esp,1995,
esp,1996,
esp,1997,
esp,1998,
esp,1999,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,0.17704
esp,2009,0.18226
esp,2010,0.18101
esp,2011,0.17915
esp,2012,0.18005
esp,2013,0.18289
esp,2014,0.18026
esp,2015,0.17025
esp,2016,0.17295
esp,2017,0.16829
esp,2018,0.1598
esp,2019,0.15252
esp,2020,0.1386
esp,2021,0.13092
esp,2022,0.14869
esp,2023,
swe,1990,
swe,1991,
swe,1992,
swe,1993,
swe,1994,
swe,1995,
swe,1996,
swe,1997,
swe,1998,
swe,1999,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,0.00896
swe,2009,0.00896
swe,2010,0.01268
swe,2011,0.00896
swe,2012,0.0215
swe,2013,0.01276
swe,2014,0.00663
swe,2015,0.00778
swe,2016,0.0154
swe,2017,0.01594
swe,2018,0.01548
swe,2019,0.00446
swe,2020,0.02011
swe,2021,0.01987
swe,2022,0.01759
swe,2023,
che,1990,
che,1991,
che,1992,
che,1993,
che,1994,
che,1995,
che,1996,
che,1997,
che,1998,
che,1999,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,0
