country,year,ae_cap_mine
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
eu_three,1990,
eu_three,1991,
eu_three,1992,
eu_three,1993,
eu_three,1994,
eu_three,1995,
eu_three,1996,
eu_three,1997,
eu_three,1998,
eu_three,1999,
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,207.632
eu_three,2009,181.5607
eu_three,2010,187.27926
eu_three,2011,185.39688
eu_three,2012,168.44163
eu_three,2013,162.02134
eu_three,2014,152.77237
eu_three,2015,152.4282
eu_three,2016,145.62364
eu_three,2017,144.16726
eu_three,2018,145.08104
eu_three,2019,132.85999
eu_three,2020,120.50702
eu_three,2021,119.00585
eu_three,2022,123.30211
eu_three,2023,
