country,year,ae_ton_const
che,2017,1218.04005
che,2018,1193.12057
che,2019,1192.46123
che,2020,1184.70699
che,2021,1187.97135
che,2022,
che,2023,
tur,1990,
tur,1991,
tur,1992,
tur,1993,
tur,1994,
tur,1995,
tur,1996,
tur,1997,
tur,1998,
tur,1999,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
gbr,1990,
gbr,1991,
gbr,1992,
gbr,1993,
gbr,1994,
gbr,1995,
gbr,1996,
gbr,1997,
gbr,1998,
gbr,1999,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,9373
gbr,2009,8619.7
gbr,2010,8727.3
gbr,2011,8529.8
gbr,2012,8533.9
gbr,2013,8430.5
gbr,2014,8629.3
gbr,2015,9185.5
gbr,2016,9761.4
gbr,2017,9913.6
gbr,2018,10021.2
gbr,2019,9925.4
gbr,2020,9150.9
gbr,2021,10196.6
gbr,2022,10440.7
gbr,2023,
eu_three,1990,
eu_three,1991,
eu_three,1992,
eu_three,1993,
eu_three,1994,
eu_three,1995,
eu_three,1996,
eu_three,1997,
eu_three,1998,
eu_three,1999,
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,56620.82974
eu_three,2009,52576.70675
eu_three,2010,52020.07147
eu_three,2011,53589.57948
eu_three,2012,51275.12351
eu_three,2013,50410.37375
eu_three,2014,49152.5116
eu_three,2015,49511.20262
eu_three,2016,49993.1561
eu_three,2017,50718.1796
eu_three,2018,51434.16554
eu_three,2019,51747.82693
eu_three,2020,48688.14625
eu_three,2021,53988.68602
eu_three,2022,51256.03935
eu_three,2023,
