country,year,ae_cap_food
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,43.6748
eu_three,2009,44.83293
eu_three,2010,44.80978
eu_three,2011,40.47949
eu_three,2012,39.59432
eu_three,2013,37.1567
eu_three,2014,32.61547
eu_three,2015,34.34224
eu_three,2016,34.42741
eu_three,2017,34.20219
eu_three,2018,34.66811
eu_three,2019,34.27912
eu_three,2020,29.60317
eu_three,2021,31.7858
eu_three,2022,30.32865
eu_three,2023,
