country,year,ae_cap_prof
mlt,2021,69.62025
mlt,2022,67.18581
mlt,2023,
nld,1990,
nld,1991,
nld,1992,
nld,1993,
nld,1994,
nld,1995,
nld,1996,
nld,1997,
nld,1998,
nld,1999,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,57.60094
nld,2009,55.85104
nld,2010,50.3791
nld,2011,41.95998
nld,2012,43.63142
nld,2013,42.86168
nld,2014,41.47287
nld,2015,44.29284
nld,2016,43.36989
nld,2017,45.8587
nld,2018,44.9224
nld,2019,44.87034
nld,2020,38.71046
nld,2021,40.20626
nld,2022,38.46066
nld,2023,
nor,1990,
nor,1991,
nor,1992,
nor,1993,
nor,1994,
nor,1995,
nor,1996,
nor,1997,
nor,1998,
nor,1999,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,23.8088
nor,2009,24.2664
nor,2010,26.50696
nor,2011,28.96328
nor,2012,29.55613
nor,2013,32.0462
nor,2014,27.93829
nor,2015,24.41662
nor,2016,22.0473
nor,2017,21.08102
nor,2018,19.36058
nor,2019,15.41193
nor,2020,13.86774
nor,2021,17.52973
nor,2022,16.79723
nor,2023,
pol,1990,
pol,1991,
pol,1992,
pol,1993,
pol,1994,
pol,1995,
pol,1996,
pol,1997,
pol,1998,
pol,1999,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,93.37996
pol,2009,93.9123
pol,2010,102.81952
pol,2011,101.94158
pol,2012,98.88504
pol,2013,94.39108
pol,2014,99.45543
pol,2015,106.36384
pol,2016,84.64745
pol,2017,84.98506
pol,2018,87.46617
pol,2019,74.2994
pol,2020,71.81337
pol,2021,84.80127
pol,2022,83.16911
pol,2023,
prt,1990,
prt,1991,
prt,1992,
prt,1993,
prt,1994,
prt,1995,
prt,1996,
prt,1997,
prt,1998,
prt,1999,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,13.93018
prt,2009,14.01635
prt,2010,14.25735
prt,2011,12.81834
prt,2012,12.29852
prt,2013,12.34918
prt,2014,13.46876
prt,2015,13.44672
prt,2016,13.80422
prt,2017,14.32011
prt,2018,15.20022
prt,2019,15.78295
prt,2020,15.84392
prt,2021,18.65968
prt,2022,17.69398
prt,2023,
rou,1990,
rou,1991,
rou,1992,
rou,1993,
rou,1994,
rou,1995,
rou,1996,
rou,1997,
rou,1998,
rou,1999,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,26.97384
rou,2009,26.73841
rou,2010,25.85576
rou,2011,25.10051
rou,2012,26.13595
rou,2013,25.72128
rou,2014,26.56283
rou,2015,26.83087
rou,2016,28.45392
rou,2017,30.50335
rou,2018,31.41286
rou,2019,31.74765
rou,2020,30.293
rou,2021,32.71537
rou,2022,31.1535
rou,2023,
srb,1990,
srb,1991,
srb,1992,
srb,1993,
srb,1994,
srb,1995,
srb,1996,
srb,1997,
srb,1998,
srb,1999,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,
srb,2009,
srb,2010,
srb,2011,
srb,2012,
srb,2013,
srb,2014,
srb,2015,
srb,2016,
srb,2017,
srb,2018,
srb,2019,
srb,2020,
srb,2021,
srb,2022,
srb,2023,
svk,1990,
svk,1991,
svk,1992,
svk,1993,
svk,1994,
svk,1995,
svk,1996,
svk,1997,
svk,1998,
svk,1999,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,87.53142
svk,2009,87.94351
svk,2010,94.16748
svk,2011,77.04522
svk,2012,81.18361
svk,2013,83.64359
svk,2014,70.31552
svk,2015,70.25967
svk,2016,73.30509
svk,2017,78.89842
svk,2018,73.11624
svk,2019,70.14274
svk,2020,64.116
svk,2021,73.03822
svk,2022,69.47696
svk,2023,
svn,1990,
svn,1991,
svn,1992,
svn,1993,
svn,1994,
svn,1995,
svn,1996,
svn,1997,
svn,1998,
svn,1999,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,69.49491
svn,2009,93.89926
svn,2010,93.80483
svn,2011,85.15902
svn,2012,72.79692
svn,2013,74.68244
svn,2014,82.68614
svn,2015,89.55101
svn,2016,91.62952
svn,2017,89.10055
svn,2018,88.23342
svn,2019,90.09689
svn,2020,89.81507
svn,2021,88.92516
svn,2022,93.96199
svn,2023,
esp,1990,
esp,1991,
esp,1992,
esp,1993,
esp,1994,
esp,1995,
esp,1996,
esp,1997,
esp,1998,
esp,1999,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,9.99475
esp,2009,10.67021
esp,2010,12.8262
esp,2011,13.30461
esp,2012,11.98099
esp,2013,9.91007
esp,2014,8.20358
esp,2015,7.89337
esp,2016,8.65304
esp,2017,9.21319
esp,2018,9.77473
esp,2019,9.45171
esp,2020,9.42814
esp,2021,10.32512
esp,2022,9.575
esp,2023,
swe,1990,
swe,1991,
swe,1992,
swe,1993,
swe,1994,
swe,1995,
swe,1996,
swe,1997,
swe,1998,
swe,1999,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,60.08583
swe,2009,58.12761
swe,2010,56.72888
swe,2011,56.63552
swe,2012,51.71025
swe,2013,49.59327
swe,2014,47.25531
swe,2015,46.16931
swe,2016,42.8799
swe,2017,40.67927
swe,2018,39.10737
swe,2019,38.75093
swe,2020,35.2227
swe,2021,30.28485
swe,2022,26.88868
swe,2023,
che,1990,
che,1991,
che,1992,
che,1993,
che,1994,
che,1995,
che,1996,
che,1997,
che,1998,
che,1999,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,80.34409
che,2009,80.34666
che,2010,87.61678
che,2011,76.61049
che,2012,83.16077
che,2013,85.01881
che,2014,70.00612
che,2015,72.50159
che,2016,67.63085
che,2017,65.61472
che,2018,70.11194
che,2019,70.48792
che,2020,63.80521
che,2021,68.86081
che,2022,
che,2023,
tur,1990,
tur,1991,
tur,1992,
tur,1993,
tur,1994,
tur,1995,
tur,1996,
tur,1997,
tur,1998,
tur,1999,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
eu_three,1990,
eu_three,1991,
eu_three,1992,
eu_three,1993,
eu_three,1994,
eu_three,1995,
eu_three,1996,
eu_three,1997,
eu_three,1998,
eu_three,1999,
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,53.9808
eu_three,2009,52.55803
eu_three,2010,52.43546
eu_three,2011,49.41224
eu_three,2012,49.50687
eu_three,2013,49.2828
eu_three,2014,35.86264
eu_three,2015,37.73424
eu_three,2016,36.80017
eu_three,2017,37.64729
eu_three,2018,38.23038
eu_three,2019,38.02105
eu_three,2020,35.66484
eu_three,2021,38.26022
eu_three,2022,35.78758
eu_three,2023,
