country,year,ae_cap_const
rou,2011,157.40241
rou,2012,167.68693
rou,2013,161.31591
rou,2014,156.21785
rou,2015,161.6088
rou,2016,152.76204
rou,2017,155.52364
rou,2018,158.71246
rou,2019,150.17457
rou,2020,149.56626
rou,2021,155.58555
rou,2022,146.61196
rou,2023,
srb,1990,
srb,1991,
srb,1992,
srb,1993,
srb,1994,
srb,1995,
srb,1996,
srb,1997,
srb,1998,
srb,1999,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,
srb,2009,
srb,2010,
srb,2011,
srb,2012,
srb,2013,
srb,2014,
srb,2015,
srb,2016,
srb,2017,
srb,2018,
srb,2019,
srb,2020,
srb,2021,
srb,2022,
srb,2023,
svk,1990,
svk,1991,
svk,1992,
svk,1993,
svk,1994,
svk,1995,
svk,1996,
svk,1997,
svk,1998,
svk,1999,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,514.84824
svk,2009,391.8939
svk,2010,351.53233
svk,2011,405.80709
svk,2012,360.61873
svk,2013,338.41424
svk,2014,334.50838
svk,2015,302.98063
svk,2016,304.77858
svk,2017,318.79546
svk,2018,314.08835
svk,2019,297.62812
svk,2020,352.28551
svk,2021,372.90236
svk,2022,342.74656
svk,2023,
svn,1990,
svn,1991,
svn,1992,
svn,1993,
svn,1994,
svn,1995,
svn,1996,
svn,1997,
svn,1998,
svn,1999,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,267.15022
svn,2009,233.86193
svn,2010,226.81336
svn,2011,216.10387
svn,2012,212.95668
svn,2013,203.21382
svn,2014,202.57399
svn,2015,215.23591
svn,2016,219.73002
svn,2017,240.64888
svn,2018,263.00326
svn,2019,273.05446
svn,2020,271.13329
svn,2021,284.58287
svn,2022,281.5135
svn,2023,
esp,1990,
esp,1991,
esp,1992,
esp,1993,
esp,1994,
esp,1995,
esp,1996,
esp,1997,
esp,1998,
esp,1999,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,75.97871
esp,2009,65.00987
esp,2010,62.04054
esp,2011,53.11136
esp,2012,54.21716
esp,2013,47.87157
esp,2014,43.14842
esp,2015,30.48756
esp,2016,34.43005
esp,2017,34.03577
esp,2018,37.07527
esp,2019,41.23519
esp,2020,29.14274
esp,2021,34.22538
esp,2022,29.19278
esp,2023,
swe,1990,
swe,1991,
swe,1992,
swe,1993,
swe,1994,
swe,1995,
swe,1996,
swe,1997,
swe,1998,
swe,1999,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,210.93797
swe,2009,204.75081
swe,2010,213.45989
swe,2011,214.00474
swe,2012,206.6795
swe,2013,202.76844
swe,2014,194.50421
swe,2015,198.33235
swe,2016,197.05126
swe,2017,185.45732
swe,2018,180.55155
swe,2019,186.42961
swe,2020,182.3832
swe,2021,189.30784
swe,2022,164.26295
swe,2023,
che,1990,
che,1991,
che,1992,
che,1993,
che,1994,
che,1995,
che,1996,
che,1997,
che,1998,
che,1999,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,171.99368
che,2009,171.90463
che,2010,172.33421
che,2011,166.36673
che,2012,170.26155
che,2013,168.93524
che,2014,158.26207
che,2015,152.63596
che,2016,147.17707
che,2017,144.11537
che,2018,140.1309
che,2019,139.05799
che,2020,137.14796
che,2021,136.47712
che,2022,
che,2023,
tur,1990,
tur,1991,
tur,1992,
tur,1993,
tur,1994,
tur,1995,
tur,1996,
tur,1997,
tur,1998,
tur,1999,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
eu_three,1990,
eu_three,1991,
eu_three,1992,
