country,year,ae_ton_air
esp,1997,
esp,1998,
esp,1999,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,10546.24837
esp,2009,9600.30601
esp,2010,9930.12054
esp,2011,10446.48741
esp,2012,9716.81638
esp,2013,9427.03772
esp,2014,10010.5103
esp,2015,10943.57856
esp,2016,11518.73847
esp,2017,12034.94104
esp,2018,12922.84192
esp,2019,13721.73247
esp,2020,5063.68297
esp,2021,7185.22831
esp,2022,11905.90103
esp,2023,
swe,1990,
swe,1991,
swe,1992,
swe,1993,
swe,1994,
swe,1995,
swe,1996,
swe,1997,
swe,1998,
swe,1999,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,2313.15598
swe,2009,1958.20398
swe,2010,1959.45746
swe,2011,2121.01915
swe,2012,2034.28442
swe,2013,2087.30475
swe,2014,2119.62135
swe,2015,2098.77884
swe,2016,2543.16915
swe,2017,2607.33246
swe,2018,2475.46394
swe,2019,2357.96526
swe,2020,908.24964
swe,2021,1084.03286
swe,2022,1219.56085
swe,2023,
che,1990,
che,1991,
che,1992,
che,1993,
che,1994,
che,1995,
che,1996,
che,1997,
che,1998,
che,1999,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,4945.62256
che,2009,4564.97337
che,2010,4563.31233
che,2011,5215.16544
che,2012,5541.65555
che,2013,5599.92852
che,2014,5722.81319
che,2015,6048.10717
che,2016,6121.81044
che,2017,6197.00155
che,2018,6538.65786
che,2019,6826.75568
che,2020,2279.06066
che,2021,2822.60149
che,2022,
che,2023,
tur,1990,
tur,1991,
tur,1992,
tur,1993,
tur,1994,
tur,1995,
tur,1996,
tur,1997,
tur,1998,
tur,1999,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
gbr,1990,
gbr,1991,
gbr,1992,
gbr,1993,
gbr,1994,
gbr,1995,
gbr,1996,
gbr,1997,
gbr,1998,
gbr,1999,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,43663.3
gbr,2009,41486.4
gbr,2010,40365.6
gbr,2011,42392
gbr,2012,40908.3
gbr,2013,40651.5
gbr,2014,40644.2
gbr,2015,41083.2
gbr,2016,40757.8
gbr,2017,43392.8
gbr,2018,45573.4
gbr,2019,42467.1
gbr,2020,17027.3
gbr,2021,16871.2
gbr,2022,
gbr,2023,
eu_three,1990,
eu_three,1991,
eu_three,1992,
eu_three,1993,
eu_three,1994,
eu_three,1995,
