country,year,chain_value_water
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,2780.6
srb,2009,1755.8
srb,2010,1776.7
srb,2011,1474.2
srb,2012,1227.7
srb,2013,1310.7
srb,2014,1418.5
srb,2015,1575
srb,2016,1553
srb,2017,1549.5
srb,2018,1740.3
srb,2019,2184.7
srb,2020,1924.8
srb,2021,2531.3
srb,2022,2476.3
srb,2023,
svk,1990,
svk,1991,
svk,1992,
svk,1993,
svk,1994,
svk,1995,
svk,1996,
svk,1997,
svk,1998,
svk,1999,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,28.4
svk,2009,23.6
svk,2010,27.5
svk,2011,22.6
svk,2012,25.8
svk,2013,19.3
svk,2014,22.6
svk,2015,16.9
svk,2016,11.5
svk,2017,10.4
svk,2018,8.4
svk,2019,11.1
svk,2020,8.9
svk,2021,7.6
svk,2022,10.9
svk,2023,
svn,1990,
svn,1991,
svn,1992,
svn,1993,
svn,1994,
svn,1995,
svn,1996,
svn,1997,
svn,1998,
svn,1999,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,82.2
svn,2009,69.4
svn,2010,69.6
svn,2011,71.7
svn,2012,69.6
svn,2013,67.9
svn,2014,61.4
svn,2015,29.2
svn,2016,28
svn,2017,22.6
svn,2018,16.7
svn,2019,11.1
svn,2020,4.7
svn,2021,3.1
svn,2022,2.9
svn,2023,
esp,1990,
esp,1991,
esp,1992,
esp,1993,
esp,1994,
esp,1995,
esp,1996,
esp,1997,
esp,1998,
esp,1999,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,1052
esp,2009,882
esp,2010,1017
esp,2011,878
esp,2012,709
esp,2013,627
esp,2014,628
esp,2015,661
esp,2016,723
esp,2017,788
esp,2018,845
esp,2019,780
esp,2020,294
esp,2021,498
esp,2022,
esp,2023,
swe,1990,
swe,1991,
swe,1992,
swe,1993,
swe,1994,
swe,1995,
swe,1996,
swe,1997,
swe,1998,
swe,1999,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,9272
swe,2009,8206
swe,2010,9828
swe,2011,9989
swe,2012,11083
swe,2013,11459
swe,2014,9755
swe,2015,8869
swe,2016,8824
swe,2017,9185
swe,2018,10576
swe,2019,13557
swe,2020,8363
swe,2021,9938
swe,2022,
swe,2023,
che,1990,
che,1991,
che,1992,
che,1993,
che,1994,
che,1995,
che,1996,
che,1997,
che,1998,
che,1999,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,
che,2012,
che,2013,
che,2014,
che,2015,
che,2016,
che,2017,
che,2018,
che,2019,
che,2020,
che,2021,
che,2022,
che,2023,
tur,1990,
tur,1991,
tur,1992,
tur,1993,
tur,1994,
tur,1995,
tur,1996,
tur,1997,
tur,1998,
tur,1999,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
gbr,1990,
gbr,1991,
gbr,1992,
gbr,1993,
gbr,1994,
gbr,1995,
gbr,1996,
gbr,1997,
gbr,1998,
gbr,1999,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,7480.6
gbr,2009,6860.1
gbr,2010,7557.4
gbr,2011,7921.8
gbr,2012,7613.8
gbr,2013,6961.1
gbr,2014,6808.2
gbr,2015,5628
gbr,2016,5091.7
gbr,2017,5042.7
gbr,2018,5084.4
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
eu_three,1990,
eu_three,1991,
eu_three,1992,
eu_three,1993,
eu_three,1994,
eu_three,1995,
eu_three,1996,
eu_three,1997,
eu_three,1998,
eu_three,1999,
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,41426.2
eu_three,2009,35503
eu_three,2010,34138.1
eu_three,2011,33649.9
eu_three,2012,34185.8
eu_three,2013,34657.9
eu_three,2014,32013.1
eu_three,2015,29738.4
eu_three,2016,30915
eu_three,2017,31740.5
eu_three,2018,32477.2
eu_three,2019,33071.8
eu_three,2020,24398.6
eu_three,2021,22043.7
eu_three,2022,
eu_three,2023,
