country,year,ae_cap_transp
srb,2017,
srb,2018,
srb,2019,
srb,2020,
srb,2021,
srb,2022,
srb,2023,
svk,1990,
svk,1991,
svk,1992,
svk,1993,
svk,1994,
svk,1995,
svk,1996,
svk,1997,
svk,1998,
svk,1999,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,963.86502
svk,2009,811.37476
svk,2010,786.72787
svk,2011,723.75316
svk,2012,650.01284
svk,2013,666.39952
svk,2014,625.55356
svk,2015,714.20142
svk,2016,711.5393
svk,2017,724.18734
svk,2018,717.12184
svk,2019,667.34371
svk,2020,433.87486
svk,2021,424.74603
svk,2022,439.94012
svk,2023,
svn,1990,
svn,1991,
svn,1992,
svn,1993,
svn,1994,
svn,1995,
svn,1996,
svn,1997,
svn,1998,
svn,1999,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,505.78932
svn,2009,445.08609
svn,2010,478.01173
svn,2011,471.40939
svn,2012,428.99813
svn,2013,438.78966
svn,2014,432.56442
svn,2015,447.83364
svn,2016,438.93904
svn,2017,436.98717
svn,2018,513.34702
svn,2019,525.56309
svn,2020,410.28015
svn,2021,463.14579
svn,2022,562.88888
svn,2023,
esp,1990,
esp,1991,
esp,1992,
esp,1993,
esp,1994,
esp,1995,
esp,1996,
esp,1997,
esp,1998,
esp,1999,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,1004.02814
esp,2009,885.80973
esp,2010,861.96556
esp,2011,827.17208
esp,2012,762.15911
esp,2013,740.82813
esp,2014,743.67875
esp,2015,801.99111
esp,2016,839.48522
esp,2017,898.72976
esp,2018,900.66377
esp,2019,924.17658
esp,2020,669.9962
esp,2021,780.33012
esp,2022,900.03951
esp,2023,
swe,1990,
swe,1991,
swe,1992,
swe,1993,
swe,1994,
swe,1995,
swe,1996,
swe,1997,
swe,1998,
swe,1999,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,1187.83013
swe,2009,1050.56187
swe,2010,1050.69592
swe,2011,910.35382
swe,2012,785.94725
swe,2013,799.5323
swe,2014,796.56893
swe,2015,840.74325
swe,2016,904.86407
swe,2017,834.26514
swe,2018,813.91294
swe,2019,793.38612
swe,2020,576.2296
swe,2021,603.77637
swe,2022,672.19897
swe,2023,
che,1990,
che,1991,
che,1992,
che,1993,
che,1994,
che,1995,
che,1996,
che,1997,
che,1998,
che,1999,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,924.26866
che,2009,853.29185
che,2010,850.13412
che,2011,919.74313
che,2012,944.95531
che,2013,948.81277
che,2014,934.15158
che,2015,967.56276
che,2016,969.211
che,2017,965.69791
che,2018,995.87432
che,2019,1020.85478
che,2020,484.30436
che,2021,550.4883
che,2022,
che,2023,
tur,1990,
tur,1991,
tur,1992,
tur,1993,
tur,1994,
tur,1995,
tur,1996,
tur,1997,
tur,1998,
tur,1999,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
eu_three,1990,
eu_three,1991,
eu_three,1992,
eu_three,1993,
eu_three,1994,
eu_three,1995,
eu_three,1996,
eu_three,1997,
eu_three,1998,
eu_three,1999,
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,1103.2135
eu_three,2009,1001.45321
eu_three,2010,1026.71068
eu_three,2011,1008.00474
eu_three,2012,985.41298
eu_three,2013,954.66942
eu_three,2014,932.06543
eu_three,2015,980.12355
eu_three,2016,961.29091
eu_three,2017,1033.19895
eu_three,2018,1064.09759
eu_three,2019,1071.67466
eu_three,2020,817.05556
eu_three,2021,894.99645
eu_three,2022,969.73536
eu_three,2023,
