country,year,env_tax_total
fji,2009,
fji,2010,0
fji,2011,3.92
fji,2012,5.97
fji,2013,5.23
fji,2014,6.05
fji,2015,5.94
fji,2016,6.13
fji,2017,5.49
fji,2018,5.52
fji,2019,5.83
fji,2020,2.4
fji,2021,
fji,2022,
fji,2023,
gha,1990,
gha,1991,
gha,1992,
gha,1993,
gha,1994,
gha,1995,
gha,1996,
gha,1997,
gha,1998,
gha,1999,
gha,2000,10.91
gha,2001,8.87
gha,2002,11.32
gha,2003,15.82
gha,2004,16.43
gha,2005,17.2
gha,2006,15.58
gha,2007,12.69
gha,2008,11.1
gha,2009,7.16
gha,2010,4.91
gha,2011,5.08
gha,2012,5.02
gha,2013,4.35
gha,2014,3.55
gha,2015,10.3
gha,2016,18.3
gha,2017,13.4
gha,2018,12.94
gha,2019,12.55
gha,2020,
gha,2021,
gha,2022,
gha,2023,
gtm,1990,
gtm,1991,
gtm,1992,
gtm,1993,
gtm,1994,9.67
gtm,1995,9.52
gtm,1996,7.58
gtm,1997,9.98
gtm,1998,11.84
gtm,1999,11.24
gtm,2000,10.35
gtm,2001,11.07
gtm,2002,9.42
gtm,2003,8.51
gtm,2004,9.05
gtm,2005,4.03
gtm,2006,8.11
gtm,2007,7.48
gtm,2008,6.94
gtm,2009,7.84
gtm,2010,7.24
gtm,2011,6.35
gtm,2012,5.92
gtm,2013,6.28
gtm,2014,5.69
gtm,2015,6.89
gtm,2016,6.59
gtm,2017,6.51
gtm,2018,6.53
gtm,2019,6.64
gtm,2020,6.24
gtm,2021,
gtm,2022,
gtm,2023,
guy,1990,
guy,1991,
guy,1992,
guy,1993,
guy,1994,3.36
guy,1995,3.57
guy,1996,3.76
guy,1997,3.98
guy,1998,4.43
guy,1999,4.27
guy,2000,4.52
guy,2001,5.08
guy,2002,4.73
guy,2003,4.51
guy,2004,4.35
guy,2005,4.39
guy,2006,3.96
guy,2007,2.43
guy,2008,13.23
guy,2009,20.17
guy,2010,17.71
guy,2011,15.98
guy,2012,15.31
guy,2013,17.74
guy,2014,17.11
guy,2015,19.18
guy,2016,16.45
guy,2017,16.78
guy,2018,17.61
guy,2019,17.29
guy,2020,12.99
guy,2021,
guy,2022,
guy,2023,
hnd,1990,
hnd,1991,
hnd,1992,
hnd,1993,
hnd,1994,10.5
hnd,1995,9.81
hnd,1996,10.25
hnd,1997,7.82
hnd,1998,17.17
hnd,1999,20.92
hnd,2000,19.66
hnd,2001,20
hnd,2002,21.07
hnd,2003,16.47
hnd,2004,16.45
hnd,2005,14.91
hnd,2006,13.55
hnd,2007,12.08
hnd,2008,10.85
hnd,2009,12.3
hnd,2010,11.53
hnd,2011,10.42
hnd,2012,10.47
hnd,2013,10.84
hnd,2014,10.87
hnd,2015,10.98
hnd,2016,10.58
hnd,2017,10.92
hnd,2018,10.43
hnd,2019,10.72
hnd,2020,10.64
hnd,2021,
hnd,2022,
hnd,2023,
ind,1990,
ind,1991,
ind,1992,
ind,1993,
ind,1994,
ind,1995,
ind,1996,
ind,1997,
ind,1998,
ind,1999,
ind,2000,
ind,2001,
ind,2002,
ind,2003,
ind,2004,
ind,2005,18.55
ind,2006,15.38
ind,2007,12.65
ind,2008,13.95
ind,2009,15.27
ind,2010,13.84
ind,2011,16.36
ind,2012,13.52
ind,2013,13.71
ind,2014,13.11
ind,2015,15.58
ind,2016,19.4
ind,2017,16.54
ind,2018,17.47
ind,2019,
ind,2020,
ind,2021,
ind,2022,
ind,2023,
jam,1990,
jam,1991,
jam,1992,
jam,1993,
jam,1994,2.64
jam,1995,2.38
jam,1996,2.41
jam,1997,2.01
jam,1998,3.33
jam,1999,3.27
jam,2000,3.13
jam,2001,3.16
jam,2002,2.32
jam,2003,1.51
jam,2004,1.24
jam,2005,1.75
jam,2006,1.59
jam,2007,1.44
jam,2008,1.32
jam,2009,1.28
jam,2010,1.84
jam,2011,2.3
jam,2012,2.11
jam,2013,3.09
jam,2014,3.15
jam,2015,3.01
jam,2016,3.37
jam,2017,4.34
jam,2018,4.36
jam,2019,4.46
jam,2020,2.52
jam,2021,
jam,2022,
jam,2023,
kaz,1990,
kaz,1991,
kaz,1992,
kaz,1993,
kaz,1994,
kaz,1995,
kaz,1996,
kaz,1997,
kaz,1998,6.45
kaz,1999,3.85
kaz,2000,4.41
kaz,2001,1.93
kaz,2002,2.5
kaz,2003,3.6
kaz,2004,10.26
kaz,2005,8.18
kaz,2006,3.1
kaz,2007,3.83
kaz,2008,2.89
kaz,2009,5.43
kaz,2010,4.42
kaz,2011,3.6
kaz,2012,3.83
kaz,2013,4.01
kaz,2014,3.46
kaz,2015,3.95
kaz,2016,4.5
kaz,2017,5.17
kaz,2018,5.06
kaz,2019,5.27
kaz,2020,6.1
kaz,2021,
kaz,2022,
kaz,2023,
ken,1990,
ken,1991,
ken,1992,
ken,1993,
ken,1994,
ken,1995,
ken,1996,
ken,1997,
ken,1998,
ken,1999,
ken,2000,
ken,2001,20.77
ken,2002,20.53
ken,2003,18.73
ken,2004,18.4
ken,2005,16.95
ken,2006,16.5
ken,2007,16.06
ken,2008,13.7
ken,2009,14.24
ken,2010,14
ken,2011,12.21
ken,2012,10.78
ken,2013,10.19
ken,2014,11.91
ken,2015,11.19
ken,2016,11.63
ken,2017,13
ken,2018,12.97
ken,2019,13.39
ken,2020,
ken,2021,
ken,2022,
ken,2023,
kgz,1990,
kgz,1991,
kgz,1992,
kgz,1993,
kgz,1994,3.38
kgz,1995,3.28
kgz,1996,2.81
kgz,1997,2.82
kgz,1998,2.75
kgz,1999,3.11
kgz,2000,6.15
kgz,2001,4.48
kgz,2002,3.69
kgz,2003,3.87
kgz,2004,3.56
kgz,2005,3.24
kgz,2006,3.22
kgz,2007,2.92
kgz,2008,3.4
kgz,2009,1.67
kgz,2010,1.15
kgz,2011,0.83
kgz,2012,0.88
kgz,2013,0.89
kgz,2014,0.82
kgz,2015,0.84
kgz,2016,0.86
kgz,2017,0.79
kgz,2018,0.73
kgz,2019,0.7
kgz,2020,0.75
kgz,2021,
kgz,2022,
kgz,2023,
lso,1990,
lso,1991,
lso,1992,
lso,1993,
lso,1994,
lso,1995,
lso,1996,
lso,1997,
lso,1998,
lso,1999,
lso,2000,
lso,2001,
lso,2002,
lso,2003,
lso,2004,
lso,2005,
lso,2006,
lso,2007,
lso,2008,
lso,2009,
lso,2010,
lso,2011,
lso,2012,
lso,2013,
lso,2014,
lso,2015,
lso,2016,
lso,2017,1.73
lso,2018,4.19
lso,2019,3.94
lso,2020,
lso,2021,
lso,2022,
lso,2023,
lie,1990,
lie,1991,
lie,1992,
lie,1993,
lie,1994,
lie,1995,
lie,1996,
lie,1997,
lie,1998,1.08
lie,1999,1.02
lie,2000,0.93
lie,2001,0.92
lie,2002,0.99
lie,2003,1.05
lie,2004,1.08
lie,2005,1.04
lie,2006,0.98
lie,2007,0.93
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
mdg,1990,
mdg,1991,
mdg,1992,
mdg,1993,
mdg,1994,2.73
mdg,1995,7.2
mdg,1996,11.33
mdg,1997,10.98
mdg,1998,13.85
mdg,1999,12.99
mdg,2000,13.19
mdg,2001,9.19
mdg,2002,10.8
mdg,2003,10.61
mdg,2004,15.47
mdg,2005,14.8
mdg,2006,17.36
mdg,2007,15
mdg,2008,14.59
mdg,2009,12.74
mdg,2010,13.63
mdg,2011,13.47
mdg,2012,12.77
mdg,2013,17.15
mdg,2014,13.96
mdg,2015,12.71
mdg,2016,10.31
mdg,2017,10.39
mdg,2018,12.49
mdg,2019,13.59
mdg,2020,
mdg,2021,
mdg,2022,
mdg,2023,
mwi,1990,
mwi,1991,
mwi,1992,
mwi,1993,
mwi,1994,
mwi,1995,
mwi,1996,
mwi,1997,
mwi,1998,
mwi,1999,
mwi,2000,
mwi,2001,
mwi,2002,
mwi,2003,
mwi,2004,
mwi,2005,2.74
mwi,2006,2.84
mwi,2007,2.65
mwi,2008,3.27
mwi,2009,4.27
mwi,2010,7.26
mwi,2011,6.39
mwi,2012,5.54
mwi,2013,5.43
mwi,2014,5.25
mwi,2015,4.75
mwi,2016,6.91
mwi,2017,6.01
mwi,2018,5.97
mwi,2019,5.84
mwi,2020,
mwi,2021,
mwi,2022,
mwi,2023,
mys,1990,
mys,1991,
mys,1992,
mys,1993,
mys,1994,3.26
mys,1995,3.31
mys,1996,3.27
mys,1997,3.36
mys,1998,3.78
mys,1999,3.88
mys,2000,3.83
mys,2001,3.19
mys,2002,3.08
mys,2003,3.24
mys,2004,2.98
mys,2005,2.57
mys,2006,1.99
mys,2007,1.74
mys,2008,1.56
mys,2009,1.7
mys,2010,1.77
