country,year,ggas_cap_air
nld,2017,702.02033
nld,2018,697.93735
nld,2019,811.00179
nld,2020,442.78021
nld,2021,454.46134
nld,2022,542.39499
nld,2023,
nor,1990,
nor,1991,
nor,1992,
nor,1993,
nor,1994,
nor,1995,
nor,1996,
nor,1997,
nor,1998,
nor,1999,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,462.10637
nor,2009,476.51278
nor,2010,506.53499
nor,2011,561.21126
nor,2012,629.83524
nor,2013,696.37693
nor,2014,757.97518
nor,2015,792.27046
nor,2016,646.68377
nor,2017,675.67717
nor,2018,730.9315
nor,2019,870.97896
nor,2020,263.2372
nor,2021,232.69835
nor,2022,351.50019
nor,2023,
pol,1990,
pol,1991,
pol,1992,
pol,1993,
pol,1994,
pol,1995,
pol,1996,
pol,1997,
pol,1998,
pol,1999,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,102.18716
pol,2009,104.27549
pol,2010,112.49073
pol,2011,114.52871
pol,2012,113.82931
pol,2013,109.64007
pol,2014,116.14779
pol,2015,119.5293
pol,2016,35.43199
pol,2017,40.07837
pol,2018,52.13402
pol,2019,70.22343
pol,2020,33.52876
pol,2021,57.9664
pol,2022,59.46468
pol,2023,
prt,1990,
prt,1991,
prt,1992,
prt,1993,
prt,1994,
prt,1995,
prt,1996,
prt,1997,
prt,1998,
prt,1999,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,307.95278
prt,2009,286.40535
prt,2010,311.71079
prt,2011,318.85832
prt,2012,322.64525
prt,2013,323.67126
prt,2014,338.1354
prt,2015,340.44361
prt,2016,334.1897
prt,2017,375.98065
prt,2018,407.51663
prt,2019,466.51726
prt,2020,189.17436
prt,2021,273.6935
prt,2022,459.12686
prt,2023,
rou,1990,
rou,1991,
rou,1992,
rou,1993,
rou,1994,
rou,1995,
rou,1996,
rou,1997,
rou,1998,
rou,1999,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,26.76732
rou,2009,30.74071
rou,2010,37.60928
rou,2011,28.88751
rou,2012,20.68651
rou,2013,22.9738
rou,2014,19.94315
rou,2015,22.08719
rou,2016,23.14444
rou,2017,28.64931
rou,2018,20.36865
rou,2019,25.03745
rou,2020,9.62015
rou,2021,13.51693
rou,2022,18.44196
rou,2023,
srb,1990,
srb,1991,
srb,1992,
srb,1993,
srb,1994,
srb,1995,
srb,1996,
srb,1997,
srb,1998,
srb,1999,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,
srb,2009,
srb,2010,
srb,2011,
srb,2012,
srb,2013,
srb,2014,
srb,2015,
srb,2016,
srb,2017,
srb,2018,
srb,2019,
srb,2020,
srb,2021,
srb,2022,
srb,2023,
svk,1990,
svk,1991,
svk,1992,
svk,1993,
svk,1994,
svk,1995,
svk,1996,
svk,1997,
svk,1998,
svk,1999,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,11.71185
svk,2009,8.62154
svk,2010,7.67395
svk,2011,7.77446
svk,2012,6.92243
svk,2013,6.45129
svk,2014,6.78118
svk,2015,8.21749
svk,2016,8.7309
svk,2017,9.31855
svk,2018,10.34599
svk,2019,10.33449
svk,2020,3.07677
svk,2021,3.68525
svk,2022,8.42166
svk,2023,
svn,1990,
svn,1991,
svn,1992,
svn,1993,
svn,1994,
svn,1995,
svn,1996,
svn,1997,
svn,1998,
svn,1999,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,92.90346
svn,2009,74.1366
svn,2010,74.80747
svn,2011,68.08067
svn,2012,63.16883
svn,2013,63.74461
svn,2014,75.51635
svn,2015,78.77734
svn,2016,73.78221
svn,2017,78.38045
svn,2018,92.18443
svn,2019,75.64333
svn,2020,14.65193
svn,2021,37.47931
svn,2022,77.81108
svn,2023,
esp,1990,
esp,1991,
esp,1992,
esp,1993,
esp,1994,
esp,1995,
esp,1996,
esp,1997,
esp,1998,
esp,1999,
esp,2000,
esp,2001,
