country,year,ae_ton_land
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,3462.39978
ltu,2009,2587.21577
ltu,2010,2665.47969
ltu,2011,2832.90055
ltu,2012,2686.30675
ltu,2013,2784.09675
ltu,2014,2943.53759
ltu,2015,3378.46583
ltu,2016,3664.13377
ltu,2017,4577.78855
ltu,2018,5847.67246
ltu,2019,6213.83045
ltu,2020,8159.8357
ltu,2021,7333.94732
ltu,2022,7158.23402
ltu,2023,
lux,1990,
lux,1991,
lux,1992,
lux,1993,
lux,1994,
lux,1995,
lux,1996,
lux,1997,
lux,1998,
lux,1999,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,227.6548
lux,2009,219.5499
lux,2010,240.9649
lux,2011,244.8091
lux,2012,266.6209
lux,2013,239.594
lux,2014,207.5897
lux,2015,208.7844
lux,2016,191.8514
lux,2017,201.8048
lux,2018,181.2792
lux,2019,164.3676
lux,2020,163.8011
lux,2021,110.3825
lux,2022,94.74091
lux,2023,
mlt,1990,
mlt,1991,
mlt,1992,
mlt,1993,
mlt,1994,
mlt,1995,
mlt,1996,
mlt,1997,
mlt,1998,
mlt,1999,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,50.07355
mlt,2009,47.41847
mlt,2010,50.68953
mlt,2011,49.67813
mlt,2012,49.14848
mlt,2013,50.08253
mlt,2014,53.9521
mlt,2015,41.2902
mlt,2016,78.4099
mlt,2017,89.00924
mlt,2018,99.24462
mlt,2019,100.16818
mlt,2020,83.08593
mlt,2021,86.06218
mlt,2022,86.92639
mlt,2023,
nld,1990,
nld,1991,
nld,1992,
nld,1993,
nld,1994,
nld,1995,
nld,1996,
nld,1997,
nld,1998,
nld,1999,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,6246.1704
nld,2009,6051.18425
nld,2010,6233.60872
nld,2011,6160.30472
nld,2012,5858.10058
nld,2013,5698.18233
nld,2014,5567.32602
nld,2015,5581.62859
nld,2016,5648.0914
nld,2017,5656.01077
nld,2018,5931.54285
nld,2019,5871.67619
nld,2020,5739.00312
nld,2021,5778.65846
nld,2022,5784.28267
nld,2023,
nzl,1990,
nzl,1991,
nzl,1992,
nzl,1993,
nzl,1994,
nzl,1995,
nzl,1996,
nzl,1997,
nzl,1998,
nzl,1999,
nzl,2000,
nzl,2001,
nzl,2002,
nzl,2003,
nzl,2004,
nzl,2005,
nzl,2006,
nzl,2007,
nzl,2008,2218.9457438
nzl,2009,2137.065832
nzl,2010,2269.3357778
nzl,2011,2328.4900466
nzl,2012,2332.8991965
nzl,2013,2311.9277473
nzl,2014,2330.4622324
nzl,2015,2325.3459279
nzl,2016,2295.7514364
nzl,2017,2490.3003112
nzl,2018,2543.3038404
nzl,2019,2443.1813588
nzl,2020,2358.4548839
nzl,2021,2493.7476988
nzl,2022,
nzl,2023,
nor,1990,
nor,1991,
nor,1992,
nor,1993,
nor,1994,
nor,1995,
nor,1996,
nor,1997,
nor,1998,
nor,1999,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,2390.56964
nor,2009,2335.20845
nor,2010,2406.35005
nor,2011,2466.43231
nor,2012,2468.14328
nor,2013,2450.35189
nor,2014,2774.4013
nor,2015,2760.47839
nor,2016,2516.30762
nor,2017,2091.52134
nor,2018,2292.69446
nor,2019,2178.01904
nor,2020,1947.50981
nor,2021,2034.71279
nor,2022,2073.3699
nor,2023,
pol,1990,
pol,1991,
pol,1992,
pol,1993,
pol,1994,
pol,1995,
pol,1996,
pol,1997,
pol,1998,
pol,1999,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,8583.07303
pol,2009,8618.27715
pol,2010,9026.93652
pol,2011,9178.86848
pol,2012,8730.79727
pol,2013,8564.00667
pol,2014,8883.15787
pol,2015,9354.52824
pol,2016,3861.55616
pol,2017,9346.82361
pol,2018,9361.15047
pol,2019,9839.94167
pol,2020,9129.93861
pol,2021,10286.65103
pol,2022,10535.35498
pol,2023,
prt,1990,
prt,1991,
prt,1992,
prt,1993,
prt,1994,
prt,1995,
prt,1996,
prt,1997,
prt,1998,
prt,1999,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
