country,year,ae_cap_manu
svk,2014,3119.20902
svk,2015,3086.62785
svk,2016,3119.21047
svk,2017,3202.66046
svk,2018,3259.38264
svk,2019,2870.61469
svk,2020,2650.27152
svk,2021,3112.25577
svk,2022,2651.91595
svk,2023,
svn,1990,
svn,1991,
svn,1992,
svn,1993,
svn,1994,
svn,1995,
svn,1996,
svn,1997,
svn,1998,
svn,1999,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,1720.74627
svn,2009,1360.6593
svn,2010,1368.36053
svn,2011,1268.77251
svn,2012,1219.64611
svn,2013,1258.44099
svn,2014,1284.39571
svn,2015,1237.473
svn,2016,1244.2479
svn,2017,1326.79592
svn,2018,1389.17222
svn,2019,1367.41437
svn,2020,1295.46452
svn,2021,1327.00921
svn,2022,1291.65357
svn,2023,
esp,1990,
esp,1991,
esp,1992,
esp,1993,
esp,1994,
esp,1995,
esp,1996,
esp,1997,
esp,1998,
esp,1999,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,2330.42156
esp,2009,1948.68952
esp,2010,1993.46052
esp,2011,1889.9004
esp,2012,1852.01438
esp,2013,1777.78938
esp,2014,1755.26681
esp,2015,1758.56499
esp,2016,1781.30845
esp,2017,1776.14909
esp,2018,1788.98491
esp,2019,1728.4341
esp,2020,1590.6317
esp,2021,1673.57682
esp,2022,1557.53783
esp,2023,
swe,1990,
swe,1991,
swe,1992,
swe,1993,
swe,1994,
swe,1995,
swe,1996,
swe,1997,
swe,1998,
swe,1999,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,1987.30641
swe,2009,1569.50518
swe,2010,1880.68278
swe,2011,1760.98584
swe,2012,1668.86739
swe,2013,1553.54796
swe,2014,1524.6297
swe,2015,1538.46507
swe,2016,1535.51454
swe,2017,1497.73335
swe,2018,1480.95227
swe,2019,1468.6468
swe,2020,1261.89464
swe,2021,1367.58408
swe,2022,1317.63075
swe,2023,
che,1990,
che,1991,
che,1992,
che,1993,
che,1994,
che,1995,
che,1996,
che,1997,
che,1998,
che,1999,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,1370.05348
che,2009,1276.84175
che,2010,1299.05766
che,2011,1218.44343
che,2012,1172.12566
che,2013,1171.22451
che,2014,1100.74441
che,2015,994.71756
che,2016,974.14974
che,2017,962.83967
che,2018,930.53719
che,2019,907.2754
che,2020,859.18852
che,2021,853.48218
che,2022,
che,2023,
tur,1990,
tur,1991,
tur,1992,
tur,1993,
tur,1994,
tur,1995,
tur,1996,
tur,1997,
tur,1998,
tur,1999,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
eu_three,1990,
eu_three,1991,
eu_three,1992,
eu_three,1993,
eu_three,1994,
eu_three,1995,
eu_three,1996,
eu_three,1997,
eu_three,1998,
eu_three,1999,
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,2350.60753
eu_three,2009,1956.23867
eu_three,2010,2058.91243
eu_three,2011,2011.16751
eu_three,2012,1930.1269
eu_three,2013,1877.34694
eu_three,2014,1849.58834
eu_three,2015,1858.59532
eu_three,2016,1860.09141
eu_three,2017,1884.13509
eu_three,2018,1867.37211
eu_three,2019,1816.01144
eu_three,2020,1702.90616
eu_three,2021,1788.77891
eu_three,2022,1665.9518
eu_three,2023,
