country,year,ae_ton_agri
svk,2011,2177.85645
svk,2012,2156.32788
svk,2013,2252.22697
svk,2014,2350.20345
svk,2015,2228.34979
svk,2016,2320.1681
svk,2017,2224.47917
svk,2018,2213.49403
svk,2019,2227.54522
svk,2020,2279.07325
svk,2021,2207.8798
svk,2022,2215.34566
svk,2023,
svn,1990,
svn,1991,
svn,1992,
svn,1993,
svn,1994,
svn,1995,
svn,1996,
svn,1997,
svn,1998,
svn,1999,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,2067.048
svn,2009,2038.33805
svn,2010,2013.35432
svn,2011,1986.22647
svn,2012,1977.8341
svn,2013,1959.15195
svn,2014,2019.70581
svn,2015,2062.28509
svn,2016,2084.30309
svn,2017,2051.92141
svn,2018,2054.38375
svn,2019,2073.47124
svn,2020,2072.59474
svn,2021,2076.07364
svn,2022,2072.9647
svn,2023,
esp,1990,
esp,1991,
esp,1992,
esp,1993,
esp,1994,
esp,1995,
esp,1996,
esp,1997,
esp,1998,
esp,1999,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,44235.18483
esp,2009,44692.44741
esp,2010,44546.49204
esp,2011,44805.40019
esp,2012,43998.01355
esp,2013,44013.22848
esp,2014,46517.1422
esp,2015,46243.19518
esp,2016,46197.78126
esp,2017,46692.44213
esp,2018,46840.27197
esp,2019,46731.06408
esp,2020,47525.40482
esp,2021,47395.63819
esp,2022,44413.02629
esp,2023,
swe,1990,
swe,1991,
swe,1992,
swe,1993,
swe,1994,
swe,1995,
swe,1996,
swe,1997,
swe,1998,
swe,1999,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,9350.48456
swe,2009,9019.77645
swe,2010,9249.11124
swe,2011,9230.46554
swe,2012,9061.34506
swe,2013,9019.01247
swe,2014,9003.73524
swe,2015,8984.35511
swe,2016,8827.22389
swe,2017,8879.86558
swe,2018,8502.18258
swe,2019,8576.97907
swe,2020,8583.24342
swe,2021,8455.17362
swe,2022,8263.21367
swe,2023,
che,1990,
che,1991,
che,1992,
che,1993,
che,1994,
che,1995,
che,1996,
che,1997,
che,1998,
che,1999,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,7077.00777
che,2009,7033.44988
che,2010,6987.03253
che,2011,6966.5321
che,2012,6971.20857
che,2013,6939.55423
che,2014,7085.512
che,2015,7042.7936
che,2016,7032.37429
che,2017,6953.05693
che,2018,6843.85603
che,2019,6760.06391
che,2020,6704.35363
che,2021,6721.3721
che,2022,
che,2023,
tur,1990,
tur,1991,
tur,1992,
tur,1993,
tur,1994,
tur,1995,
tur,1996,
tur,1997,
tur,1998,
tur,1999,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
gbr,1990,
gbr,1991,
gbr,1992,
gbr,1993,
gbr,1994,
gbr,1995,
gbr,1996,
gbr,1997,
gbr,1998,
gbr,1999,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,50472.8
gbr,2009,49684.2
gbr,2010,49684.9
gbr,2011,48994.1
gbr,2012,49671.9
gbr,2013,48613.5
gbr,2014,50571.9
gbr,2015,51146.3
gbr,2016,50534.4
gbr,2017,51286.5
gbr,2018,50557.7
gbr,2019,50060.1
gbr,2020,48500.3
gbr,2021,50040
gbr,2022,49576.7
gbr,2023,
eu_three,1990,
eu_three,1991,
eu_three,1992,
eu_three,1993,
eu_three,1994,
eu_three,1995,
eu_three,1996,
eu_three,1997,
eu_three,1998,
eu_three,1999,
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,481557.00872
eu_three,2009,475697.10752
eu_three,2010,474058.33072
eu_three,2011,473266.88734
eu_three,2012,469963.07857
eu_three,2013,472100.85538
eu_three,2014,476719.37271
eu_three,2015,478454.10926
eu_three,2016,477691.12618
eu_three,2017,480470.25178
eu_three,2018,479239.24243
eu_three,2019,474207.43173
eu_three,2020,477654.09924
eu_three,2021,475772.6268
eu_three,2022,467182.94184
eu_three,2023,
