country,year,ae_ton_admin
lux,2021,32.96472
lux,2022,28.07472
lux,2023,
mlt,1990,
mlt,1991,
mlt,1992,
mlt,1993,
mlt,1994,
mlt,1995,
mlt,1996,
mlt,1997,
mlt,1998,
mlt,1999,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,20.66432
mlt,2009,23.60625
mlt,2010,26.05058
mlt,2011,28.82513
mlt,2012,35.44191
mlt,2013,37.58026
mlt,2014,39.6294
mlt,2015,41.09959
mlt,2016,42.92988
mlt,2017,43.24518
mlt,2018,40.84213
mlt,2019,38.24775
mlt,2020,36.67405
mlt,2021,36.68866
mlt,2022,35.18807
mlt,2023,
nld,1990,
nld,1991,
nld,1992,
nld,1993,
nld,1994,
nld,1995,
nld,1996,
nld,1997,
nld,1998,
nld,1999,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,2884.14356
nld,2009,2738.13432
nld,2010,2524.28863
nld,2011,2463.33032
nld,2012,2548.38146
nld,2013,2526.77825
nld,2014,2392.78989
nld,2015,2441.00834
nld,2016,2626.34138
nld,2017,2648.95054
nld,2018,2721.4761
nld,2019,2809.26729
nld,2020,2228.21902
nld,2021,2302.26858
nld,2022,2467.95133
nld,2023,
nzl,1990,
nzl,1991,
nzl,1992,
nzl,1993,
nzl,1994,
nzl,1995,
nzl,1996,
nzl,1997,
nzl,1998,
nzl,1999,
nzl,2000,
nzl,2001,
nzl,2002,
nzl,2003,
nzl,2004,
nzl,2005,
nzl,2006,
nzl,2007,
nzl,2008,213.64535313
nzl,2009,207.62377208
nzl,2010,231.77441755
nzl,2011,219.55524712
nzl,2012,206.03402064
nzl,2013,208.97647511
nzl,2014,221.78847858
nzl,2015,225.45925698
nzl,2016,239.51966737
nzl,2017,250.5282537
nzl,2018,255.18524622
nzl,2019,260.74924732
nzl,2020,218.76765212
nzl,2021,216.71873378
nzl,2022,
nzl,2023,
nor,1990,
nor,1991,
nor,1992,
nor,1993,
nor,1994,
nor,1995,
nor,1996,
nor,1997,
nor,1998,
nor,1999,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,130.77277
nor,2009,130.188
nor,2010,152.36507
nor,2011,178.1131
nor,2012,165.18298
nor,2013,182.07495
nor,2014,176.24588
nor,2015,202.80491
nor,2016,308.0516
nor,2017,359.68713
nor,2018,394.47728
nor,2019,208.31774
nor,2020,156.35417
nor,2021,167.82655
nor,2022,164.81894
nor,2023,
pol,1990,
pol,1991,
pol,1992,
pol,1993,
pol,1994,
pol,1995,
pol,1996,
pol,1997,
pol,1998,
pol,1999,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,767.28971
pol,2009,794.09782
pol,2010,918.14912
pol,2011,872.77089
pol,2012,849.02152
pol,2013,808.11776
pol,2014,788.55025
pol,2015,842.28374
pol,2016,6732.28625
pol,2017,3993.58835
pol,2018,5933.0889
pol,2019,4603.86439
pol,2020,4882.10552
pol,2021,5618.58437
pol,2022,5504.19706
pol,2023,
prt,1990,
prt,1991,
prt,1992,
prt,1993,
prt,1994,
prt,1995,
prt,1996,
prt,1997,
prt,1998,
prt,1999,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,382.8772
prt,2009,391.5844
prt,2010,384.7323
prt,2011,354.7053
prt,2012,334.7793
prt,2013,325.8291
prt,2014,339.5404
prt,2015,349.4806
prt,2016,356.7003
prt,2017,377.4532
prt,2018,394.0142
prt,2019,402.9338
prt,2020,348.1179
prt,2021,387.4018
prt,2022,381.10538
prt,2023,
rou,1990,
rou,1991,
rou,1992,
rou,1993,
rou,1994,
rou,1995,
rou,1996,
rou,1997,
rou,1998,
rou,1999,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,384.75343
rou,2009,378.57815
rou,2010,358.12267
rou,2011,344.15418
rou,2012,352.00924
rou,2013,346.47418
rou,2014,355.50165
rou,2015,355.88038
rou,2016,374.26458
rou,2017,396.55901
rou,2018,405.29623
rou,2019,408.98555
rou,2020,386.87866
rou,2021,414.65594
rou,2022,390.23119
rou,2023,
srb,1990,
srb,1991,
srb,1992,
srb,1993,
srb,1994,
srb,1995,
srb,1996,
srb,1997,
srb,1998,
srb,1999,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,
srb,2009,
srb,2010,
srb,2011,
srb,2012,
srb,2013,
srb,2014,
srb,2015,
srb,2016,
srb,2017,
srb,2018,
srb,2019,
srb,2020,
srb,2021,
srb,2022,
srb,2023,
svk,1990,
svk,1991,
svk,1992,
svk,1993,
svk,1994,
svk,1995,
svk,1996,
svk,1997,
svk,1998,
svk,1999,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,172.92203
svk,2009,174.83324
svk,2010,187.01338
svk,2011,152.58003
svk,2012,170.90935
svk,2013,170.22562
svk,2014,138.57674
svk,2015,139.38164
svk,2016,167.4517
svk,2017,193.80545
svk,2018,213.16795
svk,2019,251.94742
svk,2020,277.23682
svk,2021,244.83976
svk,2022,241.11479
svk,2023,
svn,1990,
svn,1991,
svn,1992,
svn,1993,
svn,1994,
svn,1995,
svn,1996,
svn,1997,
svn,1998,
svn,1999,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,115.88871
svn,2009,84.53596
svn,2010,90.39959
svn,2011,87.59239
svn,2012,82.08367
svn,2013,83.67095
svn,2014,91.35626
svn,2015,98.6627
svn,2016,106.12797
svn,2017,110.02344
svn,2018,116.94021
svn,2019,122.03347
svn,2020,101.09896
svn,2021,109.97397
svn,2022,119.9084
svn,2023,
esp,1990,
esp,1991,
esp,1992,
esp,1993,
esp,1994,
esp,1995,
esp,1996,
esp,1997,
esp,1998,
esp,1999,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,439.41
esp,2009,469.32697
esp,2010,563.43458
esp,2011,587.30319
esp,2012,529.28683
esp,2013,434.53366
esp,2014,358.61739
esp,2015,344.03523
esp,2016,378.7144
esp,2017,402.09311
esp,2018,423.40015
esp,2019,424.90648
esp,2020,401.6746
esp,2021,440.68761
esp,2022,410.81776
esp,2023,
swe,1990,
swe,1991,
swe,1992,
swe,1993,
swe,1994,
swe,1995,
swe,1996,
swe,1997,
swe,1998,
swe,1999,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,444.49453
swe,2009,460.24659
swe,2010,510.58657
